Id,Title,Category,Location_Address,Location_City,Location_Venue,Event_Start,Full_Address,Latitude,Longitude
215,Fantasinesia SFX Prostetik Makeup FIlm Specialist Private Class or Camp,Budaya,"Jl. Parangtritis No.KM.6.5, Glondong, Panggungharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55188",Yogyakarta,Institut Seni Indonesia Yogyakarta,31-Jul-24,"Jl. Parangtritis No.KM.6.5, Glondong, Panggungharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55188, DI Yogyakarta, Indonesia","-7,8531596","110,3538279"
216,URINDO Senior Run,Olahraga,"Ruko Permata No 7E, Jl. Curug Raya Jati Cempaka, Pondok Gede",Jakarta,"Ruko Permata No 7E, Jl. Curug Raya Jati Cempaka, Pondok Gede",22-Aug-24,"Ruko Permata No 7E, Jl. Curug Raya Jati Cempaka, Pondok Gede, DKI Jakarta, Indonesia","-6,2518467","106,9246528"
217,IABC Spring Mentorship 2024,Bisnis,"GEDUNG TOWER SOHO LT. 10 UNIT 6 ROSEVILLE SOHO, SUNBURST CBD LOT 1.8 RT.00 RW.00 LENGKONG GUDANG, SERPONG, KOTA TANGERANGÂ SELATAN,Â BANTEN",Jakarta,"GEDUNG TOWER SOHO LT. 10 UNIT 6 ROSEVILLE SOHO, SUNBURST CBD LOT 1.8 RT.00 RW.00 LENGKONG GUDANG, SERPONG, KOTA TANGERANGÂ SELATAN,Â BANTEN",05-Jul-24,"GEDUNG TOWER SOHO LT. 10 UNIT 6 ROSEVILLE SOHO, SUNBURST CBD LOT 1.8 RT.00 RW.00 LENGKONG GUDANG, SERPONG, KOTA TANGERANGÂ SELATAN,Â BANTEN, DKI Jakarta, Indonesia","-6,2946013","106,6643952"
218,WONDERFUL UNGASAN,Musik,LAPANGAN SEPAK BOLA BANTANG METIEM DESA UNGASAN,Bali,Kantor Desa Ungasan,14-Sep-24,"LAPANGAN SEPAK BOLA BANTANG METIEM DESA UNGASAN, Bali, Indonesia","-8,8403535","115,1636656"
219,Saloka Fest 2024,Musik," Jl. Fatmawati No.154, Gumuksari, Lopait, Kec. Tuntang, Kabupaten Semarang, Jawa Tengah 50773",Semarang,Saloka Theme Park,23-Jun-24," Jl. Fatmawati No.154, Gumuksari, Lopait, Kec. Tuntang, Kabupaten Semarang, Jawa Tengah 50773, Semarang, Indonesia","-7,2804148","110,45752"
220,Bunkasai 2024,Budaya,"Jl. Imam Bonjol No.207, Pendrikan Kidul, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50131",Semarang,Pendrikan Kidul,23-Jun-24,"Jl. Imam Bonjol No.207, Pendrikan Kidul, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50131, Semarang, Indonesia","-6,9827889","110,4092651"
221,Wishlist celebration,Musik,Garut,Garut,Garut,05-Nov-24,"Garut, Garut, Indonesia","-7,227906","107,908699"
222,KIND OF DREAM FESTIVAL 2024,Musik,Lapang parkir Bale Tingtrim,Banten,"Jalan Otto Iskandardinata No. 64, Tarogong, Pananjung, Cimanganten, Kec. Tarogong Kaler, Kabupaten Garut, Jawa Barat 44151",15-Jun-24,"Lapang parkir Bale Tingtrim, Banten, Indonesia","-6,4058172","106,0640179"
223,CREATHRIFT MARKET 2024,Hiburan,"Jl. Pongtiku No.33 , Makale Tana Toraja - Sulawesi Selatan",Sulawesi Selatan,Makale Tana Toraja,09-Jun-24,"Jl. Pongtiku No.33 , Makale Tana Toraja - Sulawesi Selatan,  Sulawesi Selatan, Indonesia","-3,0924693","119,8550478"
224,Ultra Beach Bali 2024,Musik,"RW No.10, Gunung Sahari Selatan, Kemayoran, RW.10, Pademangan Tim., Kec. Pademangan, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 14410",Jakarta,JIEXPO Kemayoran Hall C3,07-Jun-24,"RW No.10, Gunung Sahari Selatan, Kemayoran, RW.10, Pademangan Tim., Kec. Pademangan, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 14410, Jakarta, Indonesia","-6,1671554","106,8397779"
225,Asia Baby Children Maternity Expo 2024 (ABC & MOM),Lainnya,"RW No.10, Gunung Sahari Selatan, Kemayoran, RW.10, Pademangan Tim., Kec. Pademangan, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 14410",Jakarta,JIEXPO Kemayoran Hall C3,21-Nov-24,"RW No.10, Gunung Sahari Selatan, Kemayoran, RW.10, Pademangan Tim., Kec. Pademangan, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 14410, DKI Jakarta, Indonesia","-6,1514898","106,8458626"
226,INTERNATIONAL TEXTILE EXPO (INTEX) INDONESIA 2024,Bisnis,"Spring Hill Office Tower, 20th Floor",Jakarta,"Spring Hill Office Tower, 20th Floor",07-Jun-24,"Spring Hill Office Tower, 20th Floor, DKI Jakarta, Indonesia","-6,1499217","106,8505817"
227,Bali Instagram Tour,Wisata,Jl.Imam Bonjol No 288 Denpasar Bali - Indonesia,Bali,Sabalad Travel,27-Jul-24,"Jl.Imam Bonjol No 288 Denpasar Bali - Indonesia, Bali, Indonesia","-8,6860525","115,1934781"
228,Bali Full-Day Water Temples and UNESCO Rice Terraces,Wisata,"Jl.GUNUNG ABANG 3 , DESA/KELURAHAN TEGAL KERTHA, KEC. DENPASAR BARAT, KOTA DENPASAR, PROVINSI BALI",Bali,Sabalad Travel,16-Sep-24,"Jl.GUNUNG ABANG 3 , DESA/KELURAHAN TEGAL KERTHA, KEC. DENPASAR BARAT, KOTA DENPASAR, PROVINSI BALI, Bali, Indonesia","-8,6606942","115,1963618"
229,HSE Acceleration Program - Emergency Response Plan,Lainnya,"Jl. M.H. Thamrin No.3, RT.10/RW.10, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",Jakarta,Menara Thamrin Level 3A / 09,29-Oct-24,"Jl. M.H. Thamrin No.3, RT.10/RW.10, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340, DKI Jakarta, Indonesia","-6,1856428","106,8218476"
230,TAST 2K24,Musik,"Jl. Wangisagara, Wangisagara, Kec. Majalaya, Kabupaten Bandung, Jawa Barat 40382",Bandung,"SMA NEGERI 2 MAJALAYA, Jawa Barat",05-May-24,"Jl. Wangisagara, Wangisagara, Kec. Majalaya, Kabupaten Bandung, Jawa Barat 40382, Bandung, Indonesia","-7,0750271","107,7398706"
231,MARKETEERS TECH FOR BUSINESS 2024,Bisnis,"Jl. Gatot Subroto No.Kav. 94, RT.11/RW.3, Pancoran, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780",Jakarta,Smesco Indonesia,21-Oct-24,"Jl. Gatot Subroto No.Kav. 94, RT.11/RW.3, Pancoran, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780, DKI Jakarta, Indonesia","-6,2614927","106,8105998"
232,HIROACOUSTIC Vol.2 : Show Tengah Tahun,Musik,Go Work Kemang X,Jakarta,Go Work Kemang X,09-May-24,"Go Work Kemang X, DKI Jakarta, Indonesia","-6,2572261","106,8147889"
233,NEBS FESTIVAL,Musik,"Jl.KS Tubun Dalam, No. 108, RT004 RW004, Koang Jaya, Kec. Tangerang, Kota Tangerang, Banten 15112",Banten,KS Tubun Dalam,04-Jul-24,"Jl.KS Tubun Dalam, No. 108, RT004 RW004, Koang Jaya, Kec. Tangerang, Kota Tangerang, Banten 15112, Banten, Indonesia","-6,1678202","106,6297182"
234,"REGISTRATION BALINESE CULTURE WORKSHOP SESSION 1 ""BHUMI KERTHI : CITRABHINEKA""",Budaya,"Jl. Dharmawangsa, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Bali,Politeknik Pariwisata Bali,18-Sep-24,"Jl. Dharmawangsa, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361,  Bali, Indonesia","-8,8077761","115,1993487"
235,Tahu Tech - Adaptasi Digital : Kiat Efektif Tracking Cash Flow UKM,Bisnis,"Jl. Gatot Subroto No.Kav. 94, RT.11/RW.3, Pancoran, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780",Jakarta,Smesco Indonesia,22-Sep-24,"Jl. Gatot Subroto No.Kav. 94, RT.11/RW.3, Pancoran, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780, DKI Jakarta, Indonesia","-6,2614927","106,8105998"
236,JOURNEY IN HARMONY,Musik,"Jl. Kemang Dalam X No.M1B, RT.5/RW.2, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730",Jakarta,"Krapela, Row 9",29-May-24,"Jl. Kemang Dalam X No.M1B, RT.5/RW.2, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730, DKI Jakarta, Indonesia","-6,2657232","106,8195712"
237,Get Well Talk - Bahagia Tanpa PMS,Edukasi,"Berrybenka Headquarter 1st Floor, Jalan K.H Mas Mansyur Nomo 18, Kel. Karet Tengsin, Kec. Tanah Abang. Jakarta Pusat. DKI Jakarta",Jakarta,"Berrybenka Headquarter 1st Floor, Jalan K.H Mas Mansyur Nomo 18, Kel. Karet Tengsin, Kec. Tanah Abang. Jakarta Pusat. DKI Jakarta",01-Nov-24,"Berrybenka Headquarter 1st Floor, Jalan K.H Mas Mansyur Nomo 18, Kel. Karet Tengsin, Kec. Tanah Abang. Jakarta Pusat. DKI Jakarta, DKI Jakarta, Indonesia","-6,2060897","106,8165071"
238,SwipeRx IPEC -Jakarta,Edukasi,"Berrybenka Headquarter 1st Floor, Jalan K.H Mas Mansyur Nomo 18, Kel. Karet Tengsin, Kec. Tanah Abang. Jakarta Pusat. DKI Jakarta",Jakarta,"Berrybenka Headquarter 1st Floor, Jalan K.H Mas Mansyur Nomo 18, Kel. Karet Tengsin, Kec. Tanah Abang. Jakarta Pusat. DKI Jakarta",23-Aug-24,"Berrybenka Headquarter 1st Floor, Jalan K.H Mas Mansyur Nomo 18, Kel. Karet Tengsin, Kec. Tanah Abang. Jakarta Pusat. DKI Jakarta, DKI Jakarta, Indonesia","-6,2060897","106,8165071"
239,Dog Yoga with Beyond Bliss 25 May 2024,Lainnya,Summarecon Mall Kelapa Gading,Jakarta,Summarecon Mall Kelapa Gading,24-Nov-24,"Summarecon Mall Kelapa Gading, DKI Jakarta, Indonesia","-6,1572666","106,9084263"
240,Parenting with Heart - Mengelola Pikiran dan Perasaan Positif,Lainnya,"Jl. Merapi 18, Klaten, Jawa Tengah, Indonesia",Klaten,"Jl. Merapi 18, Klaten, Jawa Tengah, Indonesia",13-Aug-24,"Jl. Merapi 18, Klaten, Jawa Tengah, Indonesia, Klaten, Indonesia","-7,7085089","110,5913717"
241,Markhyuck Cafe Event,Lainnya,"Jl. H. R. Rasuna Said No.C22 2, RT.2/RW.5, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",Jakarta,Lucky Cat Coffee & Kitchen,13-Oct-24,"Jl. H. R. Rasuna Said No.C22 2, RT.2/RW.5, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940, DKI Jakarta, Indonesia","-6,2229831","106,8337024"
242,Online Class | Master of Ceremony with Rizqiani Putri,Bisnis,"Jalan Jatayu S-57, Rewwin, Desa Wedoro, Kecamatan Waru, Sidoarjo 61256",Sidoarjo,"Jalan Jatayu S-57, Rewwin, Desa Wedoro, Kecamatan Waru, Sidoarjo 61256",02-Dec-24,"Jalan Jatayu S-57, Rewwin, Desa Wedoro, Kecamatan Waru, Sidoarjo 61256, Sidoarjo, Indonesia","-7,3463949","112,7527211"
243,Growbalization 2024: Sound of The Mighty Bhagawan,Musik,"Jl. Pantai Nyanyi, Beraban, Kec. Kediri, Kabupaten Tabanan, Bali 82121",Bali,Politeknik Internasional Bali,08-May-24,"Jl. Pantai Nyanyi, Beraban, Kec. Kediri, Kabupaten Tabanan, Bali 82121, Bali, Indonesia","-8,6206589","115,1059029"
244,TEDxAvicenna Cinere School - JUST YOLO,Lainnya,"Jl. Flamboyan Blok F, Cinere, Depok, 16514, Jawa Barat.",Jakarta,"Teater Wahyu Sihombing, Taman Ismail Marzuki, ",28-Jun-24,"Jl. Flamboyan Blok F, Cinere, Depok, 16514, Jawa Barat., DKI Jakarta, Indonesia","-6,3419648","106,7806842"
245,CALLING FEST TORAJA 2024,Musik,"Jl. Pongtiku No.33 , Makale Tana Toraja - Sulawesi Selatan",Sulawesi Selatan,"LAPANGAN KASIMPO, MAKALE, ",15-May-24,"Jl. Pongtiku No.33 , Makale Tana Toraja - Sulawesi Selatan, Sulawesi Selatan, Indonesia","-3,0924693","119,8550478"
246,Movement 2024,Lainnya,"Jl. Laswi No.7, Kacapiring, Kec. Batununggal, Kota Bandung, Jawa Barat 40271",Bandung,"Bandung Creative Hub (Bch), ",13-May-24,"Jl. Laswi No.7, Kacapiring, Kec. Batununggal, Kota Bandung, Jawa Barat 40271, Bandung, Indonesia","-6,9181237","107,6320463"
